"AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN"
59.9,39.2,71,26.1,75.9,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,56.8,37.4,31.7,54,20,57.4,89.7,10,81.8,35.1,76.2,34,96.6,98.9,97.4,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,51.9,47.9,67.7,0,13.5,97.7,41.6,79.9,52.2,61.4385185185185,4.1,100,74.9,44.422962962963
60.4,43.3,81.5,27.2,79,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,58.7,42.5,34.9,61.3,0,97.1,100,5,81.8,71.8,96.9,5.5,91.8,88.9,94.1,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,48.5,71,84.6,48.7,11.2,98.9,52.4,88.6,50.1,61.4385185185185,19.6,83.3,65.4,44.422962962963
60.2,40.3,0,30.9,56.6,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,86.7,18,9.2,11,0,17.7,45.2,20,87.9,0,55.5,86.3,68.5,48.2,72.1,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,15.6,79,80.5,38.6,1.6,94.8,53.5,92.9,21.1,61.4385185185185,6.1,26.1,54,44.422962962963
63.8,66.9,89.4,78,81.8,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,39.8,51.8,49.3,78.3,100,100,93.2,1,66.7,100,100,9.6,100,100,100,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,74.8,85.1,100,77.2,100,99.2,65.2,85.4,100,61.4385185185185,100,68.9,67.9,44.422962962963
43.8,18.7,50.1,29.5,84,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,79.3,33.3,13.7,38.7,100,54.3,17.8,18,97,63.2,63.1,49.9,0,16.5,61,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,31.4,34.8,70.7,38.3,1.1,81.6,17.2,92.2,29.3,61.4385185185185,0.1,0,0,44.422962962963
11.8,29.5,44.4,8.1,28.2,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,85.7,28.9,6.4,24,80,50.5348148148148,0,14.4222222222222,63.9,46.2,34.7,38.517037037037,36.4,16.8,40.4,18.6,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,15.9,47,0,95,0.4,0,73.9,61.3,4.2,61.4385185185185,0.6,10.6,23.8,44.422962962963
67.9,20.7,34.6,11.4,91.5,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,93.8,22.9,11.1,14.3,80,50.5348148148148,24.4,14.4222222222222,63.9,26.2,63.6,38.517037037037,76.5,56.7,81,89.6,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,13.1,97.9,64.7,37.2,2.6,86.2,46.2,66.1,81.8,61.4385185185185,3.6,5.8,54.3,44.422962962963
85.7,35.2,67.7,23,6.6,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,86.4,20.2,19.9,33,30,50.5348148148148,0.8,14.4222222222222,30.6,48.5,27.6,38.517037037037,90.9,83.1,79.6,34.5,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,17.7,9.5,68.2,48.1,4.4,43.1,49.2,98.8,0,61.4385185185185,21.7,14.3,69.6,44.422962962963
100,51.1,59.2,6.2,12.4,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,75.9,48.2,9.5,59.6,0,50.5348148148148,1.2,14.4222222222222,44.4,43.9,0,38.517037037037,0,5.9,42.5,0,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,15.9,0,64.4,100,0.4,99.8,72.6,75.8,42.9,61.4385185185185,4.1,0,19.7,44.422962962963
64,9.6,34.7,52,83.2,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,91.7,1.9,8.1,11.3,0,50.5348148148148,35.9,14.4222222222222,30.6,15.3,67.5,38.517037037037,90.3,74.8,87.5,34,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,19,58.6,72.9,38.3,15.4,75.6,66.8,88.7,55.5,61.4385185185185,25.2,13.5,44.5,44.422962962963
64.5,29.9,46.9,34.8,68.2,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,93.8,9.5,3,16.9,100,50.5348148148148,44.6,14.4222222222222,83.3,75.1,78.1,38.517037037037,82.6,79.1,84.8,95.3,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,23.6,88.7,61,78.9,9.5,92.7,74.4,93.9,42.3,61.4385185185185,21,15.2,35.2,44.422962962963
68.9,100,26.8,100,90.1,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,0,100,100,100,10,50.5348148148148,86.2,14.4222222222222,41.7,71.8,48.6,38.517037037037,78.7,0,90.2,99.5,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,100,69.3,65.5,37.8,25.9,95.9,71.8,92.3,71,61.4385185185185,1.6,22.5,23.8,44.422962962963
62.5,45.7,100,46.2,78.4,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,72.6,25.6,20.2,42.5,100,50.5348148148148,80.7,14.4222222222222,66.7,38.2,76.7,38.517037037037,95.4,79.9,91.1,89.3,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,31.5,64.6,80,83.3,4.9,98,35.1,97.3,64.7,61.4385185185185,6.7,20.9,30.2,44.422962962963
63.9,29,51.6,51.1,100,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,71.7,25.8,15.8,43.5,100,50.5348148148148,58.4,14.4222222222222,63.9,65.1,49.4,38.517037037037,70.4,72.5,82,89.3,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,42.5,78.9,69.3,18.3,5.7,95.3,36.6,60.9,46.3,61.4385185185185,27.9,7.9,48.5,44.422962962963
48.4,0,11.6,7.1,28.7,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,100,0,3.4,9.4,10,50.5348148148148,3.3,14.4222222222222,47.2,44.2,71.8,38.517037037037,75.2,60.5,78.1,47.9,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,0,24.4,88.3,81.7,2.7,78.9,40,99.2,41,61.4385185185185,14,3.3,48.2,44.422962962963
65.1,26.9,74.9,39.5,85.7,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,76.7,22.2,15.4,32.9,80,50.5348148148148,95.2,14.4222222222222,94.4,83.1,75.3,38.517037037037,92.5,84.7,92.2,37.5,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,40.1,75,66.6,70,23.9,94.4,25.8,94.2,52.6,61.4385185185185,8.8,41.2,38.6,44.422962962963
59.8,51.8,27.6,44.6,92.4,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,65.1,33.2,28.9,35.2,70,50.5348148148148,46.6,14.4222222222222,66.7,54.2,74.3,38.517037037037,80.7,75,85.8,100,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,52.8,84.8,75.1,36.7,2.8,98.4,63.3,97.6,60.4,61.4385185185185,12.9,7.8,100,44.422962962963
35.1,22,67.4,32.6,63.7,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,64.6,32.2,36.2,34.7,0,50.5348148148148,25.8,14.4222222222222,50,86.4,61.1,38.517037037037,85.1,75.8,80.4,78.9,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,47.4,63.7,64.9,88.3,6,92.6,36.8,99.2,55.4,61.4385185185185,10.4,4.6,39,44.422962962963
46.7,15.3,23.9,0,76.1,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,92.7,2.2,5.4,5,80,50.5348148148148,18.3,14.4222222222222,38.9,18.9,40,38.517037037037,89.7,86.1,82.2,40.5,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,8.8,10.4,57.2,99.4,7.5,63.8,10.4,97.6,32.2,61.4385185185185,4.8,3.8,29.5,44.422962962963
64,24,56.4,41,82.7,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,89.3,18.3,2.8,0,100,50.5348148148148,40,14.4222222222222,58.3,33.2,64.7,38.517037037037,78.4,56.8,74,41.9,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,28,93.5,89.7,56.1,1.9,98.3,56.7,100,45.2,61.4385185185185,25.3,9.6,51.5,44.422962962963
