"AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN"
56.8,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,89.2,73.7244444444444,22.8074074074074,37.5,100,0,0.3,10,70,50.5348148148148,47.8148148148148,26,68.8,66.4,73.1,38.517037037037,67.9,52.6,79.3,72.9844444444444,60.8,62.0733333333333,43.4,32.9,27.4,65.5,0,35.7,80.4,57.3792592592593,2.4,78.66,55.5,65.2,40.2,63.8,22.0303703703704,17.5,66,0
64.1,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,90.3,73.7244444444444,22.8074074074074,75,74,26,15.7,31.5,100,50.5348148148148,47.8148148148148,3,100,81.4,76.2,38.517037037037,87.2,79.6,94.3,72.9844444444444,56.3,62.0733333333333,91.2,63.4,73.3,55.5,42.3,63.4,74.9,57.3792592592593,21.7,78.66,32.9,87.6,51.8,63.4,22.0303703703704,60.9,73,46.9
65,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,83.2,73.7244444444444,22.8074074074074,37.5,61.8,34.5,25.9,36.2,20,50.5348148148148,47.8148148148148,13,75.3,61.4,65.6,38.517037037037,76.6,69.8,88.1,72.9844444444444,90.9,62.0733333333333,56.3,38.3,69.9,86.8,30,84.4,83.3,57.3792592592593,2.2,78.66,36.6,90.6,67.1,85.5,22.0303703703704,6.8,49.1,90.9
46,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,93.1,73.7244444444444,22.8074074074074,100,65,28.9,24.7,30.5,20,50.5348148148148,47.8148148148148,10,66.4,78.1,73.8,38.517037037037,77.2,72.2,80.9,72.9844444444444,69.3,62.0733333333333,61,27.3,37.6,49.5,37.5,84.3,72.6,57.3792592592593,6.3,78.66,20.7,89.9,64.6,91.9,22.0303703703704,15.6,35.4,32.1
37.1,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,96,73.7244444444444,22.8074074074074,87.5,89.2,5,6.5,5.9,100,50.5348148148148,47.8148148148148,25,67.2,39.1,70.6,38.517037037037,86.4,81.3,83.3,72.9844444444444,81.7,62.0733333333333,54.4,26,100,56,5,20.6,57.3,57.3792592592593,9.5,78.66,21.8,91.4,39.1,58,22.0303703703704,14.8,49.4,19.6
65.5,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,24.4,73.7244444444444,22.8074074074074,50,90.2,16.9,2,3.2,30,50.5348148148148,47.8148148148148,17,68.8,50.6,64.2,38.517037037037,77.5,32.5,78.7,72.9844444444444,87.7,62.0733333333333,79.9,47.2,32.2,30,33.3,81.8,87.9,57.3792592592593,2.5,78.66,62.9,96.6,58.2,53.8,22.0303703703704,33.6,77.8,21.2
65.9,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,88.4,73.7244444444444,22.8074074074074,50,90,11,10.4,14.7,80,50.5348148148148,47.8148148148148,14,53.6,70,70.1,38.517037037037,83.7,63.6,86.3,72.9844444444444,94,62.0733333333333,70.1,21.9,60.1,34,21.2,66.3,73.2,57.3792592592593,20.4,78.66,57.9,87.6,45.4,70.8,22.0303703703704,20.6,95.8,44.4
63.2,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,85,73.7244444444444,22.8074074074074,0,96.5,12.9,0,0,80,50.5348148148148,47.8148148148148,15,75,56.9,100,38.517037037037,15,55.6,65.3,72.9844444444444,65.8,62.0733333333333,34.6,16.3,45.3,62.2,16,81.9,59.1,57.3792592592593,1.2,78.66,56.5,74.5,66.6,0,22.0303703703704,2.3,28.7,61
64.6,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,97.8,73.7244444444444,22.8074074074074,37.5,56.3,43.3,26.8,49.2,100,50.5348148148148,47.8148148148148,6,85.3,86.5,61.2,38.517037037037,99.9,99.4,95.3,72.9844444444444,89.6,62.0733333333333,94.8,56,72,79.7,50.3,39.2,100,57.3792592592593,13.4,78.66,47.8,90.3,66.9,100,22.0303703703704,66.1,47.2,76.6
65,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,99.9,73.7244444444444,22.8074074074074,50,42.1,56.4,43.3,72.5,50,50.5348148148148,47.8148148148148,11,56.8,71.7,63.8,38.517037037037,90.2,87.5,93.6,72.9844444444444,88.2,62.0733333333333,57.1,64.3,83.2,35.6,45.2,49,59.6,57.3792592592593,24.9,78.66,0,87.6,57.8,100,22.0303703703704,49.5,72.8,52.5
65.9,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,0,73.7244444444444,22.8074074074074,50,83.1,29,4.6,26.1,80,50.5348148148148,47.8148148148148,21,67.9,43.2,81.8,38.517037037037,67.7,51.2,79,72.9844444444444,70.3,62.0733333333333,54.7,21.9,7,90.9,24.4,88.1,56,57.3792592592593,3.5,78.66,73.7,100,50.8,51,22.0303703703704,64.2,43.4,56.4
22.4,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,91.9,73.7244444444444,22.8074074074074,62.5,78.4,9.9,8.5,16.6,0,50.5348148148148,47.8148148148148,12,58.6,65.6,33.7,38.517037037037,60.8,30.5,73,72.9844444444444,75.1,62.0733333333333,47.3,40.5,72.8,47.5,18.7,79.2,61.8,57.3792592592593,0.9,78.66,84.8,65.9,43.7,78,22.0303703703704,5.3,19.1,94.8
81.2,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,98.9,73.7244444444444,22.8074074074074,0,74.6,38.1,13.5,54.9,0,50.5348148148148,47.8148148148148,24,0,43.3,36.9,38.517037037037,34.1,11.2,0,72.9844444444444,0,62.0733333333333,39.6,17.8,61.7,100,10.3,71.1,73.5,57.3792592592593,0,78.66,100,0,66.5,78.2,22.0303703703704,8.6,0,43.9
65.5,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,96.5,73.7244444444444,22.8074074074074,37.5,52,35.5,26.8,50.7,30,50.5348148148148,47.8148148148148,9,78,73.5,76.6,38.517037037037,96.3,100,98.6,72.9844444444444,84.4,62.0733333333333,100,69.6,63.7,40.1,51.5,52.3,65.6,57.3792592592593,12,78.66,27.3,77.1,51.9,85.9,22.0303703703704,100,75.4,100
64.5,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,98.1,73.7244444444444,22.8074074074074,37.5,51,39.7,26.1,51.9,100,50.5348148148148,47.8148148148148,4,72.8,89.4,92.6,38.517037037037,86.6,86.1,96,72.9844444444444,94.8,62.0733333333333,88.7,46.5,62.8,97.1,53.7,73.1,86,57.3792592592593,10.1,78.66,72.8,85.4,49.4,100,22.0303703703704,70,68.7,93.8
63.9,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,86.3,73.7244444444444,22.8074074074074,0,87.7,6.6,3.9,5.6,20,50.5348148148148,47.8148148148148,22,89,43.3,73.7,38.517037037037,36.5,41.1,72.3,72.9844444444444,85.8,62.0733333333333,58.2,44.1,75.2,35.6,20.9,79.4,69,57.3792592592593,1.4,78.66,66.2,90.3,39.7,80.4,22.0303703703704,31.4,76.6,24.5
65.8,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,100,73.7244444444444,22.8074074074074,87.5,42.6,55.9,40.9,71.3,100,50.5348148148148,47.8148148148148,1,93.3,100,76,38.517037037037,100,97.6,100,72.9844444444444,63.3,62.0733333333333,71.7,100,92.8,58.7,100,31.1,97.7,57.3792592592593,100,78.66,66.4,87.7,100,92.9,22.0303703703704,73.8,78.7,37.5
54.8,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,93.1,73.7244444444444,22.8074074074074,0,75.7,32.4,8.9,33.2,100,50.5348148148148,47.8148148148148,19,65.2,87.3,39.2,38.517037037037,46.3,1.7,63.3,72.9844444444444,100,62.0733333333333,60.7,43.9,86.9,22.6,14.6,79.7,67.3,57.3792592592593,0.5,78.66,35,97,58,44.7,22.0303703703704,9.5,16.2,71.3
