"Estado","Tipo","Ano","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN","IN_PC","PM_PB_TM","PM_PB_TX","PM_FT","SF_CI","SF_RO","SF_SF","SF_SO","SF_AU","SF_RP","SF_GP","SF_IL","SF_PC","SP_JC","SP_SC","SP_CC","SP_IH","SP_MT","SP_MO","SP_SG","SP_SP","SP_QI","SS_AM","SS_BE","SS_DS","SS_DS_AG","SS_DS_ES","SS_EV","SS_FM","SS_IE","SS_IH","SS_IJ","SS_MA","SS_MP","SS_SI","SS_DI","SS_OI","SS_CV","SS_ER","V1","V2","V3"
"Rondônia","Normalizados",2017,0,11.5,34,0.8,40,NA,NA,NA,NA,NA,NA,80.4,10.9,12.6,17.9,50,73.1,18.8,14,100,15.8,43.9,52,57.7,14.1,70.5,NA,NA,NA,NA,NA,NA,NA,29.2,50.9,51.8,73.3,1.5,96.9,65.3,70.3,61.7,NA,0,0,38.3,NA,NA,1.3,49.6,48.9,37.8,NA,84,48,62,49.6,NA,NA,NA,78.7,93,49.1,91.5,39.7,NA,69.6,80.8,13.2,NA,78.3,84.3,0,1.1,52.3,49.3,89.2,25.1,46.9,48.2,63.1,69.6,NA,NA,NA,NA,19.472672333388,36.8409408051441,40.3326131150279
"Roraima","Normalizados",2017,100,0,62,80.3,0,NA,NA,NA,NA,NA,NA,66.7,52.5,21.5,68,0,38.3,15.2,23,39.4,57.7,36.9,100,66.1,19.4,0,NA,NA,NA,NA,NA,NA,NA,28.1,19.2,60.5,81.1,0,81.3,100,0,36.6,NA,26.5,0,19.2,NA,NA,0,80.3,83,19.5,NA,86.7,37.1,4.2,81.4,NA,NA,NA,28.1,32.9,36.5,27,35.5,NA,41.9,0,0,NA,61.1,42.9,82.7,22.1,8.9,35.9,73.3,41.3,44.3,36.5,47.2,9,NA,NA,NA,NA,16.165550303841,90.0224279241999,50.1591222087191
"Rio Grande do Sul","Normalizados",2017,59.9,39.2,71,26.1,75.9,NA,NA,NA,NA,NA,NA,56.8,37.4,31.7,54,20,57.4,89.7,10,81.8,35.1,76.2,34,96.6,98.9,97.4,NA,NA,NA,NA,NA,NA,NA,51.9,47.9,67.7,0,13.5,97.7,41.6,79.9,52.2,NA,4.1,100,74.9,NA,NA,19.4,20.2,0,0,NA,19.3,90.4,87.9,56.7,NA,NA,NA,0.3,56,79.9,92,78.6,NA,72.1,74.3,61.2,NA,90.3,54.5,84.4,68.5,100,84.9,86.7,62.3,86.2,93.5,62.4,90.4,NA,NA,NA,NA,63.3558029654226,36.3518261035367,94.0703416048379
"Santa Catarina","Normalizados",2017,60.4,43.3,81.5,27.2,79,NA,NA,NA,NA,NA,NA,58.7,42.5,34.9,61.3,0,97.1,100,5,81.8,71.8,96.9,5.5,91.8,88.9,94.1,NA,NA,NA,NA,NA,NA,NA,48.5,71,84.6,48.7,11.2,98.9,52.4,88.6,50.1,NA,19.6,83.3,65.4,NA,NA,12.7,52.9,39.8,60.1,NA,83,51.3,80,45.7,NA,NA,NA,49.8,74.8,100,85.4,61.6,NA,89.8,97,74.9,NA,100,100,76.8,57.5,88.3,100,100,74.9,100,90.6,78.6,100,NA,NA,NA,NA,67.1631500565866,40.8179835536936,87.4319981022641
"Sergipe","Normalizados",2017,60.2,40.3,0,30.9,56.6,NA,NA,NA,NA,NA,NA,86.7,18,9.2,11,0,17.7,45.2,20,87.9,0,55.5,86.3,68.5,48.2,72.1,NA,NA,NA,NA,NA,NA,NA,15.6,79,80.5,38.6,1.6,94.8,53.5,92.9,21.1,NA,6.1,26.1,54,NA,NA,1.3,0,49.2,26.1,NA,80.4,94.6,23.4,37.1,NA,NA,NA,17.6,17.2,64.8,65.7,71.5,NA,21.5,75.5,26.5,NA,31.7,31.9,79.2,53.1,58.7,30.8,42.5,11.4,27.3,76.3,20.8,42.9,NA,NA,NA,NA,24.8554055760916,39.8651463165804,71.1668341778576
"São Paulo","Normalizados",2017,63.8,66.9,89.4,78,81.8,NA,NA,NA,NA,NA,NA,39.8,51.8,49.3,78.3,100,100,93.2,1,66.7,100,100,9.6,100,100,100,NA,NA,NA,NA,NA,NA,NA,74.8,85.1,100,77.2,100,99.2,65.2,85.4,100,NA,100,68.9,67.9,NA,NA,100,12.3,22.4,38.9,NA,37.5,90.9,99.4,69.6,NA,NA,NA,100,70.3,30.8,32.8,95.2,NA,100,62.6,56.6,NA,91.5,40.3,100,100,96.9,82.7,48.4,85.6,57.2,69.3,100,85.1,NA,NA,NA,NA,93.2381679566627,38.4688606564753,34.9229497291109
"Tocantins","Normalizados",2017,43.8,18.7,50.1,29.5,84,NA,NA,NA,NA,NA,NA,79.3,33.3,13.7,38.7,100,54.3,17.8,18,97,63.2,63.1,49.9,0,16.5,61,NA,NA,NA,NA,NA,NA,NA,31.4,34.8,70.7,38.3,1.1,81.6,17.2,92.2,29.3,NA,0.1,0,0,NA,NA,0.9,77.6,57.6,39.9,NA,88,37.6,29.1,65.2,NA,NA,NA,49.6,34.2,57.2,79.1,0,NA,72.3,91.9,0,NA,76.5,67,72.4,24.8,58.6,31.1,66.2,35.9,63.3,17.7,41,73.5,NA,NA,NA,NA,29.3074017265832,34.5616960133236,14.0842022573405
"Acre","Normalizados",2018,11.8,29.5,44.4,8.1,28.2,NA,NA,NA,NA,NA,NA,85.7,28.9,6.4,24,80,NA,0,NA,63.9,46.2,34.7,NA,36.4,16.8,40.4,18.6,NA,NA,NA,NA,NA,NA,15.9,47,0,95,0.4,0,73.9,61.3,4.2,NA,0.6,10.6,23.8,NA,NA,0.1,32,61,51.4,NA,72.4,79,14,43.4,37.6,NA,46.1,26.8,NA,NA,99,87.6,79.8,32.8,49.4,NA,NA,NA,NA,21.6,35.2,31.6,19.5,48.3,NA,12.1,56,44.3,28.8,NA,NA,NA,NA,5.67514687395837,42.7599316428882,30.1385073332744
"Alagoas","Normalizados",2018,67.9,20.7,34.6,11.4,91.5,NA,NA,NA,NA,NA,NA,93.8,22.9,11.1,14.3,80,NA,24.4,NA,63.9,26.2,63.6,NA,76.5,56.7,81,89.6,NA,NA,NA,NA,NA,NA,13.1,97.9,64.7,37.2,2.6,86.2,46.2,66.1,81.8,NA,3.6,5.8,54.3,NA,NA,1.7,14,23,77.1,NA,67.8,77.9,32.1,40.8,80.4,NA,59,15,NA,NA,99.1,59,90.9,36.5,72.8,NA,NA,NA,NA,68,44.6,62.1,38.6,28,NA,0.1,78.6,43.6,69.4,NA,NA,NA,NA,35.9914737222328,18.9244183770709,32.1099312418021
"Amazonas","Normalizados",2018,85.7,35.2,67.7,23,6.6,NA,NA,NA,NA,NA,NA,86.4,20.2,19.9,33,30,NA,0.8,NA,30.6,48.5,27.6,NA,90.9,83.1,79.6,34.5,NA,NA,NA,NA,NA,NA,17.7,9.5,68.2,48.1,4.4,43.1,49.2,98.8,0,NA,21.7,14.3,69.6,NA,NA,4.1,34.6,55.9,53.9,NA,87.2,82.9,67.7,38.9,86.6,NA,60.3,19.4,NA,NA,100,90.7,99.7,64,26.6,NA,NA,NA,NA,57,32.2,30.5,14.1,39,NA,19.1,0,53.1,33.1,NA,NA,NA,NA,23.4809329556954,37.399273701841,90.7255245849562
