"Estado","Ano","mds_1","mds_2","mds_3","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","CH_FM","CH_IE","CH_IJ","CH_DL","CH_SB","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","n_mds_1","n_mds_2","n_mds_3"
"Maranhão",2018,-99.5123754222507,10.1383838239863,50.2621404485619,48.4,0,11.6,7.1,28.7,37.6,10.1,79.4,46.1,37.9,0,100,0,3.4,9.4,0,41.7,0,42.5,97.2,10,83.9,3.3,23,47.2,44.2,71.8,1,75.2,60.5,78.1,47.9,100,26,0,45.8,86.9,41.4,0,24.4,88.3,81.7,2.7,78.9,40,99.2,41,65.7,17.1043033857613,68.8365915586216,73.1643744704276
"Minas Gerais",2018,87.5976257164156,15.2611859255674,1.16828267468494,65.1,26.9,74.9,39.5,85.7,99,71.5,98.5,81,0.8,87.5,76.7,22.2,15.4,32.9,58.5,75,65.1,85,47.9,80,57.4,95.2,6,94.4,83.1,75.3,49.9,92.5,84.7,92.2,37.5,81.8,100,98.1,64.3,59.8,56,40.1,75,66.6,70,23.9,94.4,25.8,94.2,52.6,32.1,70.0481952916366,70.5829529016576,51.1601274932541
"Mato Grosso do Sul",2018,84.9262233361032,-6.59461208694157,79.2148821734615,59.8,51.8,27.6,44.6,92.4,92.6,67.3,90.6,0,21.7,37.5,65.1,33.2,28.9,35.2,63.8,95.3,70.2,84.2,94.3,70,62.2,46.6,5,66.7,54.2,74.3,35.2,80.7,75,85.8,100,81.7,80.7,75.2,39.3,70.3,64,52.8,84.8,75.1,36.7,2.8,98.4,63.3,97.6,60.4,54.1,69.292306039327,63.1323194371192,86.141217368278
"Mato Grosso",2018,16.9547845677049,-29.2459594453951,-11.9553492239815,35.1,22,67.4,32.6,63.7,54.3,14.7,86.6,47.1,41.3,100,64.6,32.2,36.2,34.7,57.2,95.9,60.6,63.5,95.9,0,42.1,25.8,7,50,86.4,61.1,28.2,85.1,75.8,80.4,78.9,68.2,79.7,0,65.7,26.2,97.5,47.4,63.7,64.9,88.3,6,92.6,36.8,99.2,55.4,35,50.0593816368845,55.4104834945841,45.2780141163455
"Pará",2018,-108.418900880456,55.6758620242996,-52.2608004072408,46.7,15.3,23.9,0,76.1,5.7,3.3,72.2,74.3,34.7,100,92.7,2.2,5.4,5,0.2,71,36.4,42.5,47.9,80,10.8,18.3,18,38.9,18.9,40,51.4,89.7,86.1,82.2,40.5,94.8,36.4,22.9,51.2,86.9,97.3,8.8,10.4,57.2,99.4,7.5,63.8,10.4,97.6,32.2,35,14.5841488336446,84.3603010464088,27.2127989839798
"Paraíba",2018,-62.1764835899509,67.5632721544442,-31.1356751196193,64,24,56.4,41,82.7,36.2,0,0,83.9,55.5,87.5,89.3,18.3,2.8,0,19.5,65.3,25.7,19.3,47.9,100,19.7,40,14,58.3,33.2,64.7,35.2,78.4,56.8,74,41.9,75.2,63.5,24.2,20.1,62.8,49.4,28,93.5,89.7,56.1,1.9,98.3,56.7,100,45.2,8.3,27.6687168823643,88.4127147661759,36.6812436190214
"Pernambuco",2018,-39.9246945013107,67.2708811995161,-13.4791832004413,66.9,15.6,52.5,26.3,52.6,15.4,14.7,0,93.8,38.2,11.1,85.9,21.4,9.8,30.4,31.7,31.2,10,0,97.2,100,77.3,40.6,17,66.7,40.2,66.3,0,84.5,67,83.7,93.4,92.1,36.4,0,23.7,61.7,62.5,27.3,89.6,82.9,67.2,14,82.1,73,92.3,45.5,73.9,33.9649934525741,88.3130387977088,44.5950199355934
"Piauí",2018,-97.0073640384587,48.5005803155456,49.617288953465,54.4,6.5,30.4,10,51.5,6.5,0.7,97.1,58.8,36.7,37.5,98.1,13.6,0,1.4,6.2,55.5,34.8,100,53.9,100,82.6,21.2,15,77.8,32.9,62.8,17.9,10.9,57,62.2,74.2,41.8,0,40.1,11.5,46.4,64,25.2,31.5,71.2,79.2,1.2,71.1,26.4,80.2,52.9,0,17.8131113122183,81.9142501638862,72.8753470400093
"Paraná",2018,141.954651428409,-41.2052237780604,28.037733898151,67.6,40.7,42.8,80.5,88.4,98.4,100,97.1,74.1,0.8,44.4,59.6,42.4,31,54.5,78.6,88.7,70.7,88,94.3,20,82.8,82.5,8,75,74.4,75.9,23.4,99.2,96.3,94.7,51.5,94.6,99.7,43,65.5,94.7,62.2,56.7,86.9,98.9,41.1,18.1,96.5,41.5,91.5,55.2,100,85.4288402390325,51.3335747037351,63.2032234663896
"Rio de Janeiro",2018,55.0413917331055,8.66830485213079,-88.583290063055,66.9,32.3,78,30.9,94.1,6.5,36.4,81.2,100,21.1,77.8,55.5,57.6,39,80.5,71.1,36,52.7,15,16.9,30,42,96,8,47.2,56.1,65.3,31.5,87.9,91.6,93.2,31.5,80.7,56,16.4,64.7,0,47.5,53.7,56.8,52.1,45.8,33,100,0,89.2,71.4,85.2,60.8362145189073,68.3354421804588,10.9327780311826
"Rio Grande do Norte",2018,-33.6863648249518,31.0594084581565,23.3256926117906,65.8,34.4,40.2,30.3,55.5,19,11.1,0,0,54.6,66.7,89.1,28.4,7.5,28.8,31.2,46.8,12.8,14.4,100,80,83.9,52.4,12,72.2,15.6,75.3,0,66.6,39.3,100,77,91.9,84.8,7.7,0,31.6,95.3,25.6,100,71.8,61.1,3,91,98.6,93.9,38.5,74.8,35.730166078561,75.9685611239776,61.0912500967417
"Rondônia",2018,-54.5212143279737,-71.9783357943828,70.4287970152494,0,8.6,38.8,0.2,35.2,54.3,30.1,60.5,34.6,0.8,37.5,76.4,14.3,12.8,13.2,45,80.3,44.8,85,100,30,51.7,8.6,8,100,51.8,27.5,78.2,32.8,26.5,68.8,77,85.8,100,0,29.2,13.6,55.5,30.3,60.4,57.5,73.9,1.5,91.2,92.4,71,55.4,30.2,29.8348210235114,40.8430321911452,82.2032260074392
"Roraima",2018,-26.1597198194433,-148.118338358577,-15.6343576470318,89.3,42.5,34,72.5,0,99,59.4,97.4,100,0.4,88.9,67,50.3,14.1,62.3,32.5,43,35.8,86.6,97.2,0,45.2,18.9,24,0,72.4,39.3,32.6,61.3,11.8,0,15.3,26.5,39,94.8,63.4,18.9,97.1,26.2,15.8,72.6,82.8,0,80.4,100,0,56.7,74.8,37.859875218428,14.8869334584362,43.6290540703705
"Rio Grande do Sul",2018,108.030788010173,-9.38869836051503,-3.10437866460366,66.3,18.2,79.5,25.3,76.1,98.4,73.5,96.5,97.3,21.1,37.5,58.2,30.7,32.3,52.6,81.8,91.8,67.7,19.3,88.9,50,97.1,82.4,5,66.7,52.8,66.5,52,94.7,99.3,95.5,91.2,96.3,100,47.3,71.7,69.9,35.6,54,69,64.9,0,13.3,96.8,37.4,84.1,56.3,46.9,75.8298805526728,62.1798164591552,49.2450876161159
"Santa Catarina",2018,145.149218844882,-19.3180434753838,110.135326946993,67,14.2,85.9,25.1,89.8,92.6,73.5,98.5,7.6,54.6,0,59.1,42.6,31.1,60.1,100,100,100,88,99.6,10,91.4,92.4,5,69.4,84.1,98,31.5,87.5,91.5,92.2,93.4,41.8,57.7,100,43.9,39.4,35.3,56.4,83.6,95.4,50,10.9,97.6,73.7,93,50.8,77.5,86.3327621617224,58.7949063793928,100
"Sergipe",2018,-59.7225614000142,-18.5645766284832,37.5808004687011,64.9,34.5,0,30.4,57.3,36.2,32.2,52.2,58.8,2.3,37.5,89.7,19.2,7.6,13.3,28.4,34.5,25.9,15,97.2,0,49,45.6,16,52.8,0,62.4,13.1,52.5,44.6,70.1,28.5,94.6,37.2,29.1,0,39.4,35.6,18.7,85.7,73.4,38.1,1.4,86.6,66,95.5,34.6,85.5,28.3630688164074,59.0517629490191,67.4804997542948
"São Paulo",2018,156.597294802286,21.6223826699602,-62.3977125616807,68.2,54.3,78.7,74.9,91,9.8,40.9,97.4,66.1,7.6,50,42.5,54.9,45.5,80.4,75.5,54.1,52.4,14.4,94.3,100,84.1,100,3,88.9,100,100,26.3,100,100,98,76.4,70.6,100,41.3,75.7,61.7,35.9,85.6,69.3,100,76.1,100,99.6,84.5,94.1,100,82.8,89.5720636011461,72.7514825207161,22.669356509779
"Tocantins",2018,-22.297598365928,27.0616663575443,94.8143627507465,32.6,7.1,52.5,30,89.3,5.4,18.1,99.9,7.6,54.9,11.1,80.2,28.7,12.9,38.5,30,68.7,37.2,73.8,99.6,80,100,7.5,12,86.1,68.1,73.7,40.7,43.3,22,63.6,69.6,94,0,75.2,0,61.7,2.6,30.5,72,61.9,32.8,0.9,57.4,32.8,96.4,32.8,71,38.9526855413286,74.6057323194486,93.1330252828079
"Acre",2019,-124.630231206137,-76.8676631712095,-61.9198495064146,51.5,55.6,57.6,8.7,29,1.4,14.7,56.6,92.9,6.8,50,81.1,34.4,9.4,29.6,38.2,25.1,17.9,42.5,51.1,30,56.5,9.2,12,40,51,19.9,51.4,48.9,36.7,46.1,0,53.4,48.2,11.5,42.4,40.2,94.7,20.9,23.8,0,100,0.4,1.7,58.5,60.4,1.5,66.9,9.99705613314704,39.1762622954856,22.8835384291909
