"","mds_1","mds_2","mds_3","mds_4"
"PM_QC",0.162686791875575,0.0269758830799755,-0.142553016852917,0.139811806158071
"PM_VC",0.110464935139992,0.189760049792062,0.0468449077346078,-0.294462105884304
"PM_IN",0.0198490512860295,-0.102120917467208,-0.355643077865869,-0.108049838725669
"SF_CI",-0.258940127828791,-0.422207727709547,0.197098786116117,0.104226630102996
"SF_RO",-0.0778296315830343,-0.232217258951856,0.463905904345789,-0.140979523482823
"SF_SF",-0.542723598542827,0.209403430602669,0.175167494804328,0.0593419600703472
"SF_SO",0.0531813939521902,-0.497310225347433,0.0291330490199075,-0.0858451946566703
"SF_AU",0.838598122225846,-0.160562573222798,-0.0565243511285691,-0.00627478143710249
"SF_RP",-0.232815398822079,0.497561413895253,-0.0578383174532056,0.126069388456583
"SF_GP",-0.134072153351395,0.167634387298777,-0.323584073940288,0.193050470988958
"SF_IL",-0.018982259426398,0.158822504036091,-0.269437101517652,0.412170876107313
"SF_PC",-0.261426533543193,0.273991110044201,0.056971882353885,0.202891371213595
"SP_JC",0.374072232194717,0.431949178885447,-0.0143841296288202,0.131052567252462
"SP_SC",0.311881107858597,0.384936955250885,-0.0966789329126807,0.340455494938593
"SP_CC",0.0880428385086074,-0.100122462077014,0.00149899298896111,0.0815675223330754
"SP_IH",-0.0653461391819143,0.0590500263726438,0.204059115434929,-0.274817842840414
"SP_MT",-0.00992540884140089,0.0722349435799548,-0.225220582936822,-0.238521704660555
"SP_MO",0.109441492896106,-0.189716321404759,-0.00530145590360775,-0.309442688958777
"SP_SG",0.688347299631293,0.123896511824718,0.143185023682765,0.197675622881053
"SP_SP",0.198232146690294,-0.17312637329621,0.219014262058542,-0.00646452513224093
"SP_QI",0.137038959125826,-0.0748706777966869,0.0269627659043609,-0.48589655980525
"SP_VS",0.0238381504845986,-0.575638989456773,0.151855324385922,0.100103046375694
"SS_AM",0.192532693343236,0.091886615365049,-0.076798576492532,-0.278631340494025
"SS_BE",0.707866272912433,0.250266542511638,0.0988949328358075,0.0714578556381759
"SS_DS",0.18788506549128,0.0916443125033181,0.127704216562281,0.343853833822065
"SS_DS_AG",0.524398164686727,-0.153933077485973,-0.124571369876856,-0.199268414709526
"SS_DS_ES",0.756115985919196,-0.0909970703754298,-0.201297248266487,-0.201563521074178
"SS_EV",0.645247410730404,-0.552520070812307,0.00288838187778853,0.112963108171697
"SS_FM",0.903247321310129,0.259390009631588,0.0356055195580226,-0.0517495668758431
"SS_IE",0.470676533216684,0.156842859671674,0.615928432307232,0.216015706378875
"SS_IH",0.76970999504858,0.432003508696624,0.00584242964736708,0.0297640400667974
"SS_IJ",0.77331857958894,0.300450831467022,0.195653792575025,-0.0648337473172605
"SS_MA",0.509548043199723,-0.213618774748375,-0.0560738108948503,0.0337447571556583
"SS_MP",0.633429570073105,0.0660564232697218,0.105031454160419,0.105186822390508
"SS_SI",0.677698156027058,-0.302358004861467,0.102979444542093,0.036384629976181
"SS_DI",0.273186126843119,0.250956335141321,0.163996305978529,-0.0866622486691822
"SS_OI",0.219263170917343,0.413198520317226,-0.0233257164543784,0.267859446466854
"SS_CV",0.0892282671270654,-0.209865349606457,-0.0470072390370964,0.420920005913118
"SS_ER",0.0493109011009535,0.284084805593528,0.224286962440456,-0.0171771734324003
"SS_TI",0.214245033656564,-0.0206640592693367,-0.0282144453889153,0.315032429323847
"SS_TE",0.265108347357599,-0.197338532049485,-0.278355269038766,0.0636999618872221
"X",1,-2.57748488763423e-06,-2.1868372342178e-06,-9.27899977977686e-07
"X.1",-2.57748488763423e-06,1,-3.05916178272707e-06,-9.07155765275453e-07
"X.2",-2.1868372342178e-06,-3.05916178272707e-06,1,7.02820066588711e-07
"X.3",-9.27899977977686e-07,-9.07155765275453e-07,7.02820066588711e-07,1
